DATA,DIA,MES,ANO,PRODUTO,QTDE,VLRUNT,TOTAL
20201006,06,10,2020,110209611015002,0.47,3,1.41
20201006,06,10,2020,110209611015002,3.7,3.9,14.43
20201006,06,10,2020,110209611015002,3.7,5,18.5
20201006,06,10,2020,110209611015002,3.7,5.8,21.46
20201006,06,10,2020,110209611015002,3.7,7.2,26.64
20201006,06,10,2020,110209611015002,3.7,10.4,38.48
20201006,06,10,2020,110209611015002,3.7,14.3,52.91
20201006,06,10,2020,110209611015002,4.14,31.4,130
20201006,06,10,2020,110209611015002,4.14,74.6,308.84
20201006,06,10,2020,110209611015002,4.14,81,335.34
20201006,06,10,2020,110209611015002,4.14,127.5,527.85
20201006,06,10,2020,110209611015002,4.81,0.1,0.48
20201006,06,10,2020,110209611015002,4.81,0.15,0.72
20201006,06,10,2020,110209611015002,4.81,0.2,0.96
20201006,06,10,2020,110209611015002,4.81,0.5,2.4
20201006,06,10,2020,110209611015002,4.81,0.9,4.33
20201006,06,10,2020,110209611015002,4.81,1,4.81
20201006,06,10,2020,110209611015002,4.81,1.2,5.77
20201006,06,10,2020,110209611015002,4.81,1.5,7.22
20201006,06,10,2020,110209611015002,4.81,1.6,7.7
20201006,06,10,2020,110209611015002,4.81,2,9.62
20201006,06,10,2020,110209611015002,4.81,2.2,10.58
20201006,06,10,2020,110209611015002,4.81,3,14.43
20201006,06,10,2020,110209611015002,4.81,3.8,18.28
20201006,06,10,2020,110209611015002,5.2,2.1,10.92
20201006,06,10,2020,110209611015002,5.2,3,5.2
20201006,06,10,2020,110209611015002,5.2,3.5,18.2
20201006,06,10,2020,110209611015002,5.2,4.5,23.4
20201006,06,10,2020,110209611015002,5.4,0.1,0.54
20201006,06,10,2020,110209611015002,5.4,0.5,2.7
20201007,07,10,2020,110209611015002,3.7,1.3,4.81
20201007,07,10,2020,110209611015002,3.7,2,7.4
20201007,07,10,2020,110209611015002,3.7,3.8,14.06
20201007,07,10,2020,110209611015002,3.7,5,18.5
20201007,07,10,2020,110209611015002,3.7,8,29.6
20201007,07,10,2020,110209611015002,3.7,10,37
20201007,07,10,2020,110209611015002,3.7,10.8,39.96
20201007,07,10,2020,110209611015002,3.7,11.4,42.18
20201007,07,10,2020,110209611015002,3.7,14.1,52.17
20201007,07,10,2020,110209611015002,3.7,15.1,55.87
20201007,07,10,2020,110209611015002,4.55,6.5,29.58
20201007,07,10,2020,110209611015002,4.81,0.7,3.37
20201007,07,10,2020,110209611015002,4.81,1,4.81
20201007,07,10,2020,110209611015002,4.81,1.2,5.77
20201007,07,10,2020,110209611015002,4.81,1.3,6.25
20201007,07,10,2020,110209611015002,4.81,2,9.62
20201007,07,10,2020,110209611015002,4.81,2.1,10.1
20201007,07,10,2020,110209611015002,4.81,2.3,11.06
20201007,07,10,2020,110209611015002,4.81,6.1,29.34
20201007,07,10,2020,110209611015002,4.81,7.2,34.63
20201007,07,10,2020,110209611015002,5.2,0.1,5.2
20201007,07,10,2020,110209611015002,5.21,2.4,12.5
20201008,08,10,2020,110209611015002,0.48,10,4.8
20201008,08,10,2020,110209611015002,3.7,3.4,12.58
20201008,08,10,2020,110209611015002,3.7,4.7,17.39
20201008,08,10,2020,110209611015002,3.7,5.5,20.35
20201008,08,10,2020,110209611015002,3.7,5.9,21.83
20201008,08,10,2020,110209611015002,3.7,9.5,35.15
20201008,08,10,2020,110209611015002,4,100,400
20201008,08,10,2020,110209611015002,4.14,72,298.08
20201008,08,10,2020,110209611015002,4.14,79.9,330.79
20201008,08,10,2020,110209611015002,4.14,141.9,587.47
20201008,08,10,2020,110209611015002,4.55,1,4.55
20201008,08,10,2020,110209611015002,4.55,2,9.1
20201008,08,10,2020,110209611015002,4.55,21,95.55
20201008,08,10,2020,110209611015002,4.81,0.15,0.72
20201008,08,10,2020,110209611015002,4.81,0.5,2.4
20201008,08,10,2020,110209611015002,4.81,0.6,2.89
20201008,08,10,2020,110209611015002,4.81,1,4.81
20201008,08,10,2020,110209611015002,4.81,2.5,12.03
20201008,08,10,2020,110209611015002,4.81,4.7,22.61
20201008,08,10,2020,110209611015002,5.2,7,36.4
20201008,08,10,2020,110209611015002,5.2,19.4,100.88
20201009,09,10,2020,110209611015002,3.7,4.5,16.65
20201009,09,10,2020,110209611015002,4.03,14,56.42
20201009,09,10,2020,110209611015002,4.55,2,9.1
20201009,09,10,2020,110209611015002,4.63,8,37.04
20201009,09,10,2020,110209611015002,4.81,0.1,0.48
20201009,09,10,2020,110209611015002,4.81,0.3,1.44
20201009,09,10,2020,110209611015002,4.81,0.4,1.92
20201009,09,10,2020,110209611015002,4.81,1.5,7.22
20201009,09,10,2020,110209611015002,4.81,2,9.62
20201009,09,10,2020,110209611015002,5.2,0,5.2
20201009,09,10,2020,110209611015002,5.2,2.76,28.08
20201010,10,10,2020,110209611015002,3.4,3.5,11.9
20201010,10,10,2020,110209611015002,4.14,60,248.4
20201010,10,10,2020,110209611015002,4.14,73,302.22
20201010,10,10,2020,110209611015002,4.14,107.3,444.22
20201013,13,10,2020,110209611015002,0.47,2,0.94
20201013,13,10,2020,110209611015002,3.7,1.8,6.66
20201013,13,10,2020,110209611015002,3.7,2.1,7.77
20201013,13,10,2020,110209611015002,3.7,2.6,9.62
20201013,13,10,2020,110209611015002,3.7,6.9,25.53
20201013,13,10,2020,110209611015002,3.7,7.8,28.86
20201013,13,10,2020,110209611015002,3.7,14.12,52.24
20201013,13,10,2020,110209611015002,4.14,43.1,178.43
20201013,13,10,2020,110209611015002,4.14,57.1,236.39
20201013,13,10,2020,110209611015002,4.14,80,331.2
20201013,13,10,2020,110209611015002,4.14,100.25,415.04
20201013,13,10,2020,110209611015002,4.55,3,13.65
20201013,13,10,2020,110209611015002,4.55,4,18.2
20201013,13,10,2020,110209611015002,4.81,0.15,0.72
